Downloaded from FDA Substances Added to Food <em>(formerly EAFUS)</em>; http://www.cfsanappsexternal.fda.gov/scripts/fdcc/?set=FoodSubstances; Last updated 5/19/2021; downloaded 9/28/2021.

"It is important to note that the inventory is only a partial list of food ingredients. Inclusion in this inventory of information from non-FDA entities does not indicate an FDA approval or evaluation of this use.  Always check the FDA regulations."

CAS Reg No (or other ID),Substance,Other Names,Used for (Technical Effect),Reg col01,Reg col02,Reg col03,Reg col04,Reg col05,Reg col06,Reg add01,Reg add02,Reg add03,Reg add04,Reg add05,Reg add06,Reg add07,Reg add08,Reg add09,Reg add10,Reg add11,Reg add12,Reg add13,Reg add14,Reg add16,Reg add17,Reg add18,Reg add19,Reg add20,Reg prohibited189,Reg Administrative,regs Labeling & Standards ,FEMA No,GRAS Pub No,Most Recent GRAS Pub Update,FEMA status,JECFA Flavor Number
" 122-74-7"," 3-PHENYLPROPYL PROPIONATE"," &diams; 3-PHENYLPROPYL PROPIONATE<br />&diams; BETA-PHENYLPROPYL PROPIONATE<br />&diams; BENZENEPROPANOL, PROPANOATE<br />&diams; HYDROCINNAMYL PROPIONATE<br />&diams; 3-PHENYLPROPYL PROPANOATE<br />&diams; 1-PROPANOL, 3-PHENYL-, PROPIONATE<br />&diams; 3-PHENYL-1-PROPYL PROPIONATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2897"),=T("3"),=T("25"),,=T("639")
" 2110-18-1"," 2-(3-PHENYLPROPYL)PYRIDINE"," &diams; 2-(3-PHENYLPROPYL)PYRIDINE<br />&diams; ALPHA-(3-PHENYLPROPYL)PYRIDINE<br />&diams; PYRIDINE, 2-(3-PHENYLPROPYL)-"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3751"),=T("14"),,,=T("1321")
" 3208-40-0"," 2-(3-PHENYLPROPYL)TETRAHYDROFURAN"," &diams; 2-(3-PHENYLPROPYL)TETRAHYDROFURAN<br />&diams; ALPHA-(3-PHENYLPROPYL)TETRAHYDROFURAN<br />&diams; FURAN, TETRAHYDRO-2-(3-PHENYLPROPYL)-<br />&diams; TETRAHYDRO-2-(3-PHENYLPROPYL)FURAN<br />&diams; 2-HYDROCINNAMYLTETRAHYDROFURAN"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2898"),=T("3"),,,=T("1441")
" 118-55-8"," PHENYL SALICYLATE"," &diams; PHENYL SALICYLATE<br />&diams; SALOL<br />&diams; BENZOIC ACID, 2-HYDROXY-, PHENYL ESTER<br />&diams; PHENYL 2-HYDROXYBENZOATE<br />&diams; SALICYLIC ACID, PHENYL ESTER"," ANTIOXIDANT,<br /> STABILIZER OR THICKENER",,,,,,,=T("177.1010"),,,,,,,,,,,,,,,,,,,,,,=T("3960"),=T("19"),,,=T("736")
" 7664-38-2"," PHOSPHORIC ACID"," &diams; PHOSPHORIC ACID<br />&diams; ORTHOPHOSPHORIC ACID<br />&diams; PHOSPHORIC ACID, ORTHO-"," ANTIMICROBIAL AGENT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> FUMIGANT,<br /> MALTING OR FERMENTING AID,<br /> NON-NUTRITIVE SWEETENER,<br /> PH CONTROL AGENT,<br /> SEQUESTRANT",=T("73.275"),=T("73.85"),,,,,=T("175.300"),=T("177.2260"),=T("178.1010"),=T("178.3520"),=T("182.1073"),,,,,,,,,,,,,,,,," 133.123 ,  133.124 ,  133.129 ,  133.169 ,  133.173 ,  133.178 ,  133.179 ,  163.110 ,  163.111 ,  163.112",=T("2900"),=T("3"),,,
" 10025-87-3"," PHOSPHORUS OXYCHLORIDE"," &diams; PHOSPHORUS OXYCHLORIDE<br />&diams; PHOSPHORYL CHLORIDE<br />&diams; PHOSPHORUS OXYTRICHLORIDE<br />&diams; PHOSPHORYL TRICHLORIDE<br />&diams; PHOSPHORIC TRICHLORIDE<br />&diams; TRICHLOROPHOSPHINE OXIDE"," PH CONTROL AGENT",,,,,,,=T("172.892"),,,,,,,,,,,,,,,,,,,,,,,,,,
" 87-41-2"," PHTHALIDE"," &diams; PHTHALIDE<br />&diams; 1(3H)-ISOBENZOFURANONE<br />&diams; 1-phthalanone<br />&diams; 2-hydroxymethylbenzoic acid, gamma-lactone<br />&diams; phthalolactone<br />&diams; InChI=1S/C8H6O2/c9-8-7-4-2-1-3-6(7)5-10-8/h1-4H,5H2<br />&diams; InChiKey=WNZQDUSMALZDQF-UHFFFAOYSA-N"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4195"),=T("22"),,,
" 150-86-7"," PHYTOL"," &diams; PHYTOL<br />&diams; 2-HEXADECEN-1-OL, 3,7,11,15-TETRAMETHYL-, (R-(R*,R*-(E)))-<br />&diams; 3,7,11,15-TETRAMETHYL-2-HEXADECEN-1-OL, (R-(R*,R*-(E)))-<br />&diams; PHYTOL, TRANS-<br />&diams; 2-hexadecen-1-ol, 3,7,11,15-tetramethyl,(2E,7R,11R)-<br />&diams; 3,7,11,15-tetramethyl-2-hexadecen-1-ol,(2E,7R,11R)-<br />&diams; InChI=1S/C20H40O/c1-17(2)9-6-10-18(3)11-7-12-19(4)13-8-14-20(5)15-16-21/h15,17-19,21H,6-14,16H2,1-5H3/b20-15 /t18-,19-/m1/s1<br />&diams; InChiKey=BOTWFXYSPFMFNR-ZJFWYBQPSA-N<br />&diams; InChI=1S/C20H40O/c1-17(2)9-6-10-18(3)11-7-12-19(4)13-8-14-20(5)15-16-21/h15,17-19,21H,6-14,16H2,1-5H3/b20-15+/t18-,19-/m1/s1<br />&diams; InChIKey: BOTWFXYSPFMFNR-PYDDKJGSSA-N"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4196"),=T("22"),,,=T("1832")
" 10236-16-5"," PHYTYL ACETATE"," &diams; PHYTYL ACETATE<br />&diams; phytol acetate<br />&diams; 2-hexadecen-1-ol,3,7,11,15-tetramethyl<br />&diams; 3,7,11,15-tetramethyl-2-hexadecen-1-ol acetate,(2E,7R,11R)-<br />&diams; InChI=1S/C22H42O2/c1-18(2)10-7-11-19(3)12-8-13-20(4)14-9-15-21(5)16-17-24-22(6)23/h16,18-20H,7-15,17H2,1-6H3/b21-16+/t19-,20-/m1/s1<br />&diams; InChIKey: JIGCTXHIECXYRJ-ILWBRPEASA-N"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4197"),=T("22"),,,=T("1833")
" 977157-17-7"," PIMENTA LEAF, OIL (PIMENTA OFFICINALIS LINDL.)"," &diams; PIMENTA LEAF OIL<br />&diams; PIMENTO LEAF OIL<br />&diams; PIMENTA OFFICINALIS LEAF OIL"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("182.20"),,,,,,,,,,,,,,,,,,,,,,=T("2901"),=T("3"),,,
" 18358-53-7"," 3-PINANONE",," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4198"),=T("22"),,,=T("1868")
" 977089-63-6"," PINE BARK, WHITE, EXTRACT SOLID (PINUS STROBUS L.)"," &diams; WHITE PINE BARK EXTRACT, SOLID<br />&diams; PINUS STROBUS BARK SOLID EXTRACT"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.510"),,,,,,,,,,,,,,,,,,,,,,,,,,
" 977089-62-5"," PINE BARK, WHITE, OIL (PINUS STROBUS L.)"," &diams; WHITE PINE BARK OIL<br />&diams; PINE BARK OIL, WHITE<br />&diams; PINUS STROBUS BARK OIL"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.510"),,,,,,,,,,,,,,,,,,,,,,,,,,
" 977002-91-7"," PINE BARK, WHITE (PINUS STROBUS L.)"," &diams; WHITE PINE<br />&diams; PINE BARK, WHITE<br />&diams; EASTERN WHITE PINE<br />&diams; PINUS STROBUS<br />&diams; PINE, WHITE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.510"),,,,,,,,,,,,,,,,,,,,,,,,,,
" 80-56-8"," ALPHA-PINENE"," &diams; ALPHA-PINENE<br />&diams; 2-PINENE<br />&diams; 2,6,6-TRIMETHYLBICYCLO(3.1.1)HEPT-2-ENE<br />&diams; BICYCLO(3.1.1)HEPT-2-ENE, 2,6,6-TRIMETHYL-<br />&diams; alpha-pinene, (+/-)-<br />&diams; 2-pinene, (+/-)-"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),=T("175.300"),=T("175.320"),,,,,,,,,,,,,,,,,,,,=T("2902"),=T("3"),=T("25"),,=T("1329")
" 127-91-3"," BETA-PINENE"," &diams; BETA-PINENE<br />&diams; 2(10)-PINENE<br />&diams; NOPINENE<br />&diams; 6,6-DIMETHYL-2-METHYLENEBICYCLO(3.1.1)HEPTANE<br />&diams; 6,6-DIMETHYL-2-METHYLENENORPINANE<br />&diams; BICYCLO(3.1.1)HEPTANE, 6,6-DIMETHYL-2-METHYLENE-<br />&diams; PSEUDOPINENE<br />&diams; TEREBENTHENE<br />&diams; PINENE, BETA-"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),=T("175.300"),=T("175.320"),,,,,,,,,,,,,,,,,,,,=T("2903"),=T("3"),,,=T("1330")
" 8000-26-8"," PINE NEEDLE, DWARF, OIL (PINUS MUGO TURRA VAR. PUMILIO (HAENKE) ZENARI)"," &diams; PINE NEEDLE OIL<br />&diams; DWARF PINE NEEDLE OIL<br />&diams; PINE NEEDLE OIL, DWARF<br />&diams; MOUNTAIN PINE OIL<br />&diams; PUMILO PINE OIL<br />&diams; OILS, PINE NEEDLE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.510"),,,,,,,,,,,,,,,,,,,,,,=T("2904"),=T("3"),,,
" 8023-99-2"," PINE, SCOTCH, OIL (PINUS SYLVESTRIS L.)"," &diams; PINE NEEDLE OIL, SCOTCH<br />&diams; PINE, SCOTCH, OIL<br />&diams; PINUS SYLVESTRIS OIL<br />&diams; OILS, PINE, PINUS SYLVESTRIS<br />&diams; PINE OIL, SCOTCH<br />&diams; SCOTCH PINE NEEDLE OIL"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.510"),,,,,,,,,,,,,,,,,,,,,,=T("2906"),=T("3"),,,
" 977009-97-4"," PINE TAR, OIL (PINUS SPP.)"," &diams; PINE TAR OIL<br />&diams; PINE TAR OIL, RECTIFIED"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2907"),=T("3"),,,
" 977019-44-5"," PINE, WHITE, OIL (PINUS SPP.)"," &diams; WHITE PINE OIL<br />&diams; PINE OIL, WHITE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.510"),,,,,,,,,,,,,,,,,,,,,,,,,,
" 5947-36-4"," PINOCARVEOL"," &diams; PINOCARVEOL<br />&diams; 2(10)-PINEN-3-OL<br />&diams; 3-HYDROXY-6,6-DIMETHYL-2-METHYLENEBICYCLO(3.1.1)HEPTANE<br />&diams; BICYCLO(3.1.1)HEPTAN-3-OL, 6,6-DIMETHYL-2-METHYLENE-<br />&diams; 6,6-DIMETHYL-2-METHYLENEBICYCLO(3.1.1)HEPTAN-3-OL<br />&diams; 10-PINEN-3-OL<br />&diams; 6,6-DIMETHYL-3-HYDROXY-2-METHYLENEBICYCLO(3.1.1)HEPTANE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("3587"),=T("11"),,,=T("1403")
" 929116-08-5"," PINOCARVYL ISOBUTYRATE"," &diams; PINOCARVYL ISOBUTYRATE<br />&diams; propanoic acid,2-methyl-, 6,6-dimethyl-2-methylenebicyclo(3.1.1)hept-3-yl ester<br />&diams; 6,6-dimethyl-2-methylenebicyclo(3.1.1)hept-3-yl 2-methylpropanoate<br />&diams; pinocarveol isobutyrate"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4525"),=T("24"),,,
" 110-85-0"," PIPERAZINE"," &diams; PIPERAZINE<br />&diams; DIETHYLENEDIAMINE<br />&diams; PIPERAZINE, ANHYDROUS<br />&diams; HEXAHYDROPYRAZINE<br />&diams; PIPERAZIDINE<br />&diams; InChI=1S/C4H10N2/c1-2-6-4-3-5-1/h5-6H,1-4H2<br />&diams; InChIKey: GLUUGHFHXGJENI-UHFFFAOYSA-N"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("175.105"),=T("175.320"),=T("177.2550"),,,,,,,,,,,,,,,,,,,,=T("4250"),=T("22"),,,=T("1615")
" 142-64-3"," PIPERAZINE DIHYDROCHLORIDE"," &diams; PIPERAZINE DIHYDROCHLORIDE<br />&diams; DIETHYLENEDIAMINE DIHYDROCHLORIDE<br />&diams; PIPERAZINE HYDROCHLORIDE<br />&diams; PIPERAZINE, DIHYDROCHLORIDE<br />&diams; InChI=1S/C4H10N2.2ClH/c1-2-6-4-3-5-1 /h5-6H,1-4H2<br />&diams; 2*1H<br />&diams; InChIKey: CVVIJWRCGSYCMB-UHFFFAOYSA-N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 110-89-4"," PIPERIDINE"," &diams; PIPERIDINE<br />&diams; HEXAHYDROPYRIDINE<br />&diams; HEXAZANE<br />&diams; PENTAMETHYLENIMINE<br />&diams; AZACYCLOHEXANE<br />&diams; CYCLOPENTIMINE<br />&diams; PERHYDROPYRIDINE<br />&diams; InChI=1S/C5H11N/c1-2-4-6-5-3-1/h6H,1-5H2<br />&diams; InChIKey: NQRYJNQNLNOLGT-UHFFFAOYSA-N"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2908"),=T("3"),,,=T("1607")
" 94-62-2"," PIPERINE"," &diams; PIPERINE<br />&diams; PIPEROYLPIPERIDINE<br />&diams; PIPERIDINE, 1-(5-(1,3-BENZODIOXOL-5-YL)-1-OXO-2,4-PENTADIENYL)-, (E,E)-<br />&diams; 1-(5-(1,3-BENZODIOXOL-5-YL)-1-OXO-2,4-PENTADIENYL)PIPERIDINE, (E,E)-<br />&diams; PIPERIDINE, 1-PIPEROYL-, (E,E)-<br />&diams; 1-PIPEROYLPIPERIDINE, (E,E)-<br />&diams; PIPERIN"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2909"),=T("3"),,,=T("1600")
" 491-09-8"," PIPERITENONE"," &diams; PIPERITENONE<br />&diams; P-MENTHA-1,4(8)-DIEN-3-ONE<br />&diams; 2-CYCLOHEXEN-1-ONE, 3-METHYL-6-(1-METHYLETHYLIDENE)-<br />&diams; 3-METHYL-6-(1-METHYLETHYLIDENE)-2-CYCLOHEXEN-1-ONE<br />&diams; PULESPENONE<br />&diams; 3-TERPINOLENONE<br />&diams; 1-METHYL-4-ISOPROPYLIDENE-1-CYCLOHEXEN-3-ONE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("3560"),=T("11"),,,=T("757")
" 35178-55-3"," PIPERITENONE OXIDE"," &diams; PIPERITENONE OXIDE<br />&diams; 1,2-EPOXY-P-MENTH-4(8)-EN-3-ONE<br />&diams; 7-OXABICYCLO(4.1.0)HEPTAN-2-ONE, 6-METHYL-3-(1-METHYLETHYLIDENE)-<br />&diams; 6-METHYL-3-(1-METHYLETHYLIDENE)-7-OXABICYCLO(4.1.0)HEPTAN-2-ONE<br />&diams; P-MENTH-4(8)-EN-3-ONE, 1,2-EPOXY-<br />&diams; InChI=1S/C10H14O2/c1-6(2)7-4-5-10(3)9(12-10)8(7)11/h9H,4-5H2,1-3H3<br />&diams; InChIKey: AKASWINDKIEEBO-UHFFFAOYSA-N"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("4199"),=T("22"),,,=T("1574")
" 6091-50-5"," D-PIPERITONE"," &diams; PIPERITONE, D-<br />&diams; P-MENTH-1-EN-3-ONE<br />&diams; PIPERITONE, ALPHA-<br />&diams; 4-ISOPROPYL-1-METHYL-1-CYCLOHEXEN-3-ONE<br />&diams; 1-METHYL-4-ISOPROPYL-1-CYCLOHEXEN-3-ONE<br />&diams; 2-CYCLOHEXEN-1-ONE, 3-METHYL-6-(1-METHYETHYL)-, (S)-<br />&diams; 3-METHYL-6-(1-METHYLETHYL)-2-CYCLOHEXEN-1-ONE, (S)-<br />&diams; P-MENTH-1-EN-3-ONE, (+)-"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2910"),=T("3"),=T("25"),,=T("435")
" 4573-50-6"," L-PIPERITONE"," &diams; PIPERITONE, L-<br />&diams; PIPERITONE, (-)-<br />&diams; 2-CYCLOHEXEN-1-ONE, 3-METHYL-6-(1-METHYLETHYL)-, (R)-<br />&diams; 3-METHYL-6-(1-METHYLETHYL)-2-CYCLOHEXEN-1-ONE, (R)-<br />&diams; P-MENTH-1-EN-3-ONE, (R)-(-)-<br />&diams; MENTH-1-EN-3-ONE, P-, (R)-(-)-<br />&diams; InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)6-10(9)11/h6-7,9H,4-5H2,1-3H3/t9-/m1/s1<br />&diams; InChIKey: YSTPAHQEHQSRJD-SECBINFHSA-N"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4200"),=T("22"),,,=T("1856")
" 90082-60-3"," PIPER LONGUM DISTILLATE"," &diams; PIPER LONGUM DISTILLATE<br />&diams; pepper (piper), P. longum, ext.<br />&diams; pepper (piper), P. longum, distillate"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4266"),=T("23"),,,
" 120-57-0"," PIPERONAL"," &diams; PIPERONAL<br />&diams; HELIOTROPIN<br />&diams; PIPERONYLALDEHYDE<br />&diams; DIOXYMETHYLENEPROTOCATECHUIC ALDEHYDE<br />&diams; 3,4-METHYLENEDIOXYBENZALDEHYDE<br />&diams; PROTOCATECHUIC ALDEHYDE METHYLENE ETHER<br />&diams; 1,3-BENZODIOXOLE-5-CARBOXALDEHYDE<br />&diams; HELIOTROPINE<br />&diams; InChI=1S/C8H6O3/c9-4-6-1-2-7-8(3-6)11-5-10-7/h1-4H,5H2<br />&diams; InChIKey: SATCULPHIDQDRE-UHFFFAOYSA-N"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("182.60"),,,,,,,,,,,,,,,,,,,,,,=T("2911"),=T("3"),=T("25"),,=T("896")
" 61683-99-6"," PIPERONAL PROPYLENEGLYCOL ACETAL"," &diams; PIPERONAL PROPYLENE GLYCOL ACETAL<br />&diams; 1,3-benzodioxole, 5-(4-methyl-1,3-dioxolan-2-yl)-<br />&diams; 5-(4-methyl-1,3-dioxolan-2-yl)-1,3-benzodioxole<br />&diams; 1,3-dioxolane, 4-methyl-2-(3,4-methylenedioxyphenyl)-<br />&diams; 4-methyl-2-(3,4-methylenedioxyphenyl)-1,3-dioxolane"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4622"),=T("24"),,,
" 326-61-4"," PIPERONYL ACETATE"," &diams; PIPERONYL ACETATE<br />&diams; HELIOTROPYL ACETATE<br />&diams; 3,4-METHYLENEDIOXYBENZYL ACETATE<br />&diams; 1,3-BENZODIOXOLE-5-METHANOL, ACETATE<br />&diams; PIPERONYL ALCOHOL, ACETATE<br />&diams; 1,3-BENZODIOXOLE-5-METHANYL ACETATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2912"),=T("3"),=T("25"),,=T("894")
" 5461-08-5"," PIPERONYL ISOBUTYRATE"," &diams; PIPERONYL ISOBUTYRATE<br />&diams; HELIOTROPYL 2-METHYLPROPANOATE<br />&diams; PIPERONYL 2-METHYLPROPANOATE<br />&diams; PROPANOIC ACID, 2-METHYL-, 1,3-BENZODIOXOL-5-YLMETHYL ESTER<br />&diams; 3,4-METHYLENEDIOXYBENZYL 2-METHYLPROPANOATE<br />&diams; 1,3-BENZODIOXOL-5-YLMETHYL 2-METHYLPROPANOATE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2913"),=T("3"),=T("25"),,=T("895")
" 89997-56-8"," PIPSISSEWA LEAVES, EXTRACT (CHIMAPHILA UMBELLATA NUTT.)"," &diams; PIPSISSEWA LEAF EXTRACT<br />&diams; CHIMAPHILA EXTRACT<br />&diams; CHIMAPHILA UMBELLATA LEAF EXTRACT<br />&diams; CHIMAPHILA UMBELLATA, EXT.<br />&diams; PRINCE'S PINE EXTRACT"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("182.20"),,,,,,,,,,,,,,,,,,,,,,=T("2914"),=T("3"),,,
" 1197-15-5"," 1,3-P-MENTHADIEN-7-AL"," &diams; P-MENTHA-1,3,-DIEN-7-AL<br />&diams; 1,3-cyclohexadiene-1-carboxaldehyde, 4-(1-methylethyl)-<br />&diams; 1,3-cyclohexadiene-1-carboxaldehyde, 4-isopropyl-<br />&diams; 1,3,-p-menthadien-7-al"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4506"),=T("24"),,,=T("1906")
" 42822-86-6"," P-MENTHANE-3,8-DIOL"," &diams; P-MENTHANE-3,8-DIOL<br />&diams; cyclohexanemethanol, 2-hydroxy-alpha,alpha,4-trimethyl-<br />&diams; 2-hydroxy-alpha,alpha,4-trimethylcyclohexanemethanol<br />&diams; 2-(2'-hydroxypropan-2'-yl)-5-methylcyclohexanol"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4053"),=T("21"),=T("25"),,=T("1416")
" 5502-75-0"," P-MENTHAN-7-OL"," &diams; MENTHAN-7-OL, P-<br />&diams; cyclohexanemethanol,4-(1-methylethyl)-<br />&diams; 4-(1-methylethyl)cyclohexanemethanol<br />&diams; 4-isopropylcyclohexylmethanol"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4507"),=T("24"),,,=T("1904")
" 18479-68-0"," P-MENTH-1-EN-9-OL"," &diams; P-MENTH-1-EN-9-OL<br />&diams; 3-cyclohexene-1-ethanol, beta,4-dimethyl-<br />&diams; beta,4-dimethyl-3-cyclohexene-1-ethanol"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4508"),=T("24"),,,=T("1905")
" 9003-05-8"," POLYACRYLAMIDE"," &diams; POLYACRYLAMIDE<br />&diams; POLYACRYLAMIDE RESIN<br />&diams; 2-PROPENAMIDE, HOMOPOLYMER<br />&diams; POLY(2-PROPENAMIDE)<br />&diams; ACRYLAMIDE, POLYMERS"," FORMULATION AID",,,,,,,=T("172.255"),=T("173.315"),=T("175.105"),=T("176.170"),=T("176.180"),,,,,,,,,,,,,,,,,,,,,,
" 26006-22-4"," POLYACRYLAMIDE RESIN, MODIFIED"," &diams; POLY(ACRYLAMIDE-CO-(2-(METHACRYLOYLOXY)ETHYL)TRIMETHYLAMMONIUM METHYL SULFATE)<br />&diams; ACRYLAMIDE-BETA-METHACRYLOYLOXYETHYLTRIMETHYLAMMONIUM METHYL SULFATE COPOLYMER RESIN<br />&diams; BETA-METHACRYLOYLOXYETHYLTRIMETHYLAMMONIUM METHYL SULFATE-ACRYLAMIDE COPOLYMER<br />&diams; ACRYLAMIDE-(2-(METHACRYLOYLOXY)ETHYL)TRIMETHYLAMMONIUM METHYL SULFATE COPOLYMER RESIN<br />&diams; CHOLINE METHYL SULFATE METHACRYLATE-ACRYLAMIDE COPOLYMER<br />&diams; ETHANAMINIUM, N,N,N-TRIMETHYL-2-((2-METHYL-1-OXO-2-PROPENYL)OXY)-, METHYL SULFATE, POLYMER WITH 2-PROPENAMIDE<br />&diams; QUATERNIUM-39<br />&diams; POLYACRYLAMIDE RESIN, MODIFIED<br />&diams; POLY(N,N,N-TRIMETHYL-2-((2-METHYL-1-OXO-2-PROPENYL)OXY)ETHANAMINIUM METHYL SULFATE-CO-2-PROPENAMIDE)"," PROCESSING AID",,,,,,,=T("173.10"),,,,,,,,,,,,,,,,,,,,,,,,,,
" 71050-62-9"," POLY(ACRYLIC ACID-CO-HYPOPHOSPHITE), SODIUM SALT"," &diams; POLY(ACRYLIC ACID-CO-SODIUM HYPOPHOSPHITE)<br />&diams; ACRYLIC ACID-SODIUM PHOSPHINATE COPOLYMER<br />&diams; ACRYLIC ACID-SODIUM HYPOPHOSPHITE COPOLYMER<br />&diams; PHOSPHINIC ACID, SODIUM SALT, POLYMER WITH 2-PROPENOIC ACID<br />&diams; POLY(ACRYLIC ACID-CO-HYPOPHOSPHITE), SODIUM SALT<br />&diams; POLY(2-PROPENOIC ACID-CO-SODIUM PHOSPHINATE)<br />&diams; SODIUM HYPOPHOSPHITE-ACRYLIC ACID COPOLYMER<br />&diams; 2-PROPENOIC ACID-SODIUM PHOSPHINATE COPOLYMER<br />&diams; 2-PROPENOIC ACID, POLYMER WITH SODIUM PHOSPHINATE"," BOILER WATER ADDITIVE",,,,,,,=T("173.310"),,,,,,,,,,,,,,,,,,,,,,,,,,
" 9003-04-7"," POLYACRYLIC ACID, SODIUM SALT"," &diams; SODIUM POLYACRYLATE<br />&diams; 2-PROPENOIC ACID, HOMOPOLYMER, SODIUM SALT<br />&diams; ACRYLIC ACID, POLYMERS, SODIUM SALT<br />&diams; POLY(ACRYLIC ACID), SODIUM SALT"," BOILER WATER ADDITIVE,<br /> WASHING OR SURFACE REMOVAL AGENT",,,,,,,=T("173.310"),=T("173.340"),=T("173.73"),=T("175.105"),=T("176.170"),=T("176.180"),=T("176.200"),=T("177.1200"),=T("177.1210"),,,,,,,,,,,,,,,,,,
" 68424-04-4"," POLYDEXTROSE"," &diams; POLYDEXTROSE"," FORMULATION AID,<br /> HUMECTANT,<br /> NUTRIENT SUPPLEMENT,<br /> STABILIZER OR THICKENER,<br /> TEXTURIZER",,,,,,,=T("172.841"),,,,,,,,,,,,,,,,,,,,,,,,,,
" 9043-77-0"," POLY(DIVINYLBENZENE-CO-ETHYLSTYRENE)"," &diams; POLY(DIVINYLBENZENE-CO-ETHYLSTYRENE)<br />&diams; BENZENE, DIETHENYL-, POLYMER WITH ETHENYLETHYLBENZENE<br />&diams; DIVINYLBENZENE-ETHYLVINYLBENZENE COPOLYMER<br />&diams; POLY(DIETHENYLBENZENE-CO-ETHENYLETHYLBENZENE)"," SOLVENT OR VEHICLE",,,,,,,=T("173.65"),,,,,,,,,,,,,,,,,,,,,,,,,,
